Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Agnostic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,Yes,No answer,Somewhat disagree,"Coping with academic-related stress,Emergency mental health care","External referral to non-CAPS provider,Individual therapy at CAPS",The wait time for ongoing therapy was too long so I did not follow through.,No answer,Once,2021-2022,Somewhat disagree,"The counseling I received did not adequately address my concerns or needs.,The wait was too long for me to follow through and receive help.","Yes, during office hours (8:30am-5pm)",No answer,No answer,Yes,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS)",Therapist,"Let's Talk,Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Somewhat agree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Anxiety around falling behind academically",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Somewhat agree,No answer,No answer,No,No,No answer,Somewhat disagree,No answer,"Yes, one",Between 6-10 hours,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Communication,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I have an external provider for mental and psychological health",Neither agree nor disagree,Receiving a preliminary diagnosis,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat disagree,Somewhat disagree,Strongly disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Friends,Family",Appointment at CAPS,"Friend Group,Family,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Two or More Races,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",External referral to non-CAPS provider,Other,"I waited about three weeks to get an appointment, then had to make another appointment for the actual referral, which wasn't very helpful because they essentially said they couldn't offer any referrals given my insurance. I wish this could have been told to me before wasting my time.",Two to three times,2022-2023,Neither agree nor disagree,No answer,No,I have not needed to,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat agree,"Personal experience with CAPS,Friends,Peer advisors and student mentors","Friends,Family","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation",Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Somewhat disagree,No answer,No,Between 1-5 hours,Somewhat agree,Somewhat agree,Somewhat agree,First year
Atheist,No answer,Cisgender woman,No answer,"American Indian or Alaska Native (Examples: Navajo Nation, Blackfeet Tribe, or Inupiat Traditional Govt.),Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I have an external provider for mental and psychological health",Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Strongly disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Friends,Family,Faculty or academic advisors",No answer,Family,Unable to judge,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,I had a lack of information and guidance about the MLOA process,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,Haven't needed any CAPS services,Strongly disagree,"Coping with academic-related stress,Help transitioning to Northwestern",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Strongly agree,Strongly disagree,Somewhat agree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Friends,Family",Appointment at CAPS,Friend Group,Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Strongly agree,No,No,No answer,Somewhat disagree,No answer,"Yes, one",Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Asian/Pacific Islander,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Friends,Family","Let's Talk,Drop-In Hours at CARE,NU Peer Support Group","Friend Group,Family",Somewhat agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Strongly agree,Strongly agree,Neither agree nor disagree,"Weekly religious services,Drop-in meditation",Somewhat agree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat disagree,No answer
Christian (non-denominational),No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Bienen School of Music,Not 1st Generation,Unknown,Female,No,"I am worried the wait time will be too long,I am worried about cost",Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships,Help transitioning to Northwestern,Help navigating my identity",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Friends,Social media and online platforms",Friends,"Let's Talk,NU Peer Support Group,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation",Somewhat disagree,"I don't trust that the conversation would be truly confidential,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,Yes,Strongly agree,Somewhat agree,Strongly agree,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly agree,Neither agree nor disagree,Second year
Agnostic,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",High Need 4+,Second Year,School of Journalism,First Generation College,Black or African American,Female,Yes,No answer,Neither agree nor disagree,Counseling on a Medical Leave of Absence,"External referral to non-CAPS provider,Crisis consultation",I met with someone at CAPS and then was referred to an outside care person.,No answer,Two to three times,2021-2022,Somewhat agree,No answer,"Yes, during office hours (8:30am-5pm)",No answer,No answer,No,No answer,Strongly disagree,Strongly disagree,Strongly disagree,"Personal experience with CAPS,Friends,Social media and online platforms",Student Assistance and Support Service (SASS),"Let's Talk,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Strongly disagree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Lack of financial support if my MLOA was approved,Stigma related to MLOAs,Anxiety around falling behind academically,My family was unsupportive,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Weekly religious services,Strongly disagree,I generally avoid religious institutions,Somewhat disagree,Prefer not to answer,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Between 11-15 hours,Strongly agree,Somewhat agree,Strongly agree,"First year,Second year"
Atheist,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I have an external provider for mental and psychological health,I don't have time,I am worried about cost",Somewhat agree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Friends,Family","Drop-In Hours at the Women's Center,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Neither agree nor disagree,No,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,No,Less than 1 hour,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Journalism,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,"Help with interpersonal relationships,Emergency mental health care,Help navigating my identity","Crisis consultation,Individual therapy at CAPS",I received the treatment I needed within CAPS.,No answer,Four to six times,"2021-2022,2022-2023",Neither agree nor disagree,No answer,"Yes, during office hours (8:30am-5pm)",No answer,No answer,No,No answer,Somewhat disagree,Strongly disagree,Strongly disagree,"Personal experience with CAPS,Student publications","Student organizations,Friends,Family","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","IFC/PHA Greek Life,Friend Group,Family,Student organization",Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Somewhat agree,Somewhat agree,Somewhat agree,Weekly religious services,Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",More than 20 hours,Somewhat agree,Strongly agree,Strongly agree,"First year,Second year"
Jewish,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Resident Assistants",Appointment at CAPS,"Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,In my student organizations,Somewhat agree,Strongly agree,Somewhat disagree,No answer,No answer,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,Haven't needed any CAPS services,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Protestant (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,First Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Sports teams,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Family","Active Minds,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood",Neither agree or disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Neither agree nor disagree,Strongly agree,Strongly agree,Weekly religious services,Neither agree nor disagree,No answer,No answer,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Somewhat disagree,Somewhat disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,I am worried the wait time will be too long,Somewhat disagree,Coping with academic-related stress,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly agree,Somewhat disagree,Strongly agree,Personal experience with CAPS,"Friends,Family","Soldari-tea,Let's Talk,NU Peer Support Group,Active Minds,ResilientNU","Friend Group,Family",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Alice Millar Chapel Choir concerts",Somewhat disagree,"I have other sources of support,I generally avoid religious institutions",Strongly disagree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Less than 1 hour,Strongly agree,Somewhat disagree,Strongly disagree,No answer
Jain,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,International,Female,Yes,No answer,Somewhat agree,"Coping with academic-related stress,Help transitioning to Northwestern","Crisis consultation,Individual therapy at CAPS",The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Two to three times,"2021-2022,2022-2023",Somewhat agree,No answer,No,I have not needed to,No answer,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Personal experience with CAPS,"Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Neither agree nor disagree,No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No answer,Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Strongly disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 16-20 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,White,Female,No,"Haven't needed any CAPS services,I don't think CAPS has staff who can treat me,I don't have time",Somewhat agree,"Help with interpersonal relationships,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Peer advisors and student mentors","Student organizations,Friends,Family,Peer advisors,Faculty or academic advisors","Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood,Student organization",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Somewhat disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 16-20 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Unknown,Female,No,Haven't needed any CAPS services,Somewhat agree,Emergency mental health care,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications","Friends,Family,Peer advisors","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Somewhat disagree,I did not know chaplain services existed at Northwestern,Somewhat agree,No,No,No answer,Somewhat agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Christian (non-denominational),No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Second Year,Weinberg College of Arts & Sci,First Generation College,White,Male,No,"I don't think CAPS has staff who can treat me,Ive heard very poor things about it.",Strongly disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Somewhat disagree,Yes,"Yes, although I did not take one.",I decided it was no longer necessary,I am spiritual,Somewhat agree,No answer,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"Drop-in meditation,Confidential chaplain consultations",Somewhat agree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Somewhat disagree,Strongly disagree,No answer
Jehovah's Witness,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",High Need 4+,Second Year,School of Journalism,Not 1st Generation,Hispanic,Female,Yes,No answer,Somewhat disagree,"Coping with academic-related stress,Emergency mental health care,Receiving a preliminary diagnosis",Individual therapy at CAPS,I met with someone at CAPS and then was referred to an outside care person.,No answer,Seven to ten times,2021-2022,Strongly agree,No answer,No,I have not needed to,No answer,No,No answer,Strongly agree,Strongly agree,Strongly agree,"Personal experience with CAPS,Social media and online platforms,Student publications","Friends,Family,My personal therapist.","Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood,Student organization",Strongly agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,"In classes or labs,In my student organizations",Neither agree nor disagree,Somewhat disagree,Strongly agree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support",Strongly disagree,No,Yes,Strongly agree,Strongly agree,Strongly agree,No,Between 11-15 hours,Somewhat agree,Strongly agree,Strongly disagree,First year
Protestant (non-denominational),No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,First Generation College,Two or More Races,Male,No,Haven't needed any CAPS services,Neither agree nor disagree,"Coping with academic-related stress,Emergency mental health care,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer,Family,"NU Peer Support Group,Appointment at CAPS,Virtual appointment through TimelyCare","IFC/PHA Greek Life,Student organization",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Neither agree nor disagree,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Neither agree nor disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Second Year,School of Educ & Soc Policy,First Generation College,Hispanic,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Active Minds,Appointment at CAPS","IFC/PHA Greek Life,Friend Group,Family",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,"Weekly religious services,Drop-in meditation",Neither agree nor disagree,No answer,No answer,Yes,No,Neither agree nor disagree,Strongly agree,Strongly agree,No,Between 1-5 hours,Neither agree nor disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I don't have time,Not sure if my situation qualifies",Somewhat disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Student advocacy groups (e.g. Reform CAPS),Student publications,Peer advisors and student mentors","CARE,Friends,Family,Faculty or academic advisors","Let's Talk,Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Confidential chaplain consultations",Somewhat agree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 1-5 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I have an external provider for mental and psychological health",Strongly disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer,"Friends,Family,Faculty or academic advisors",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
